UnitID,Species,Species_frac
MCK 13-3 C,ABCO,0.9506779001496556
MCK 13-3 C,ABMA,0.0368015133844108
MCK 13-3 C,CADE,0.0
MCK 13-3 C,OTHER,0.0
MCK 13-3 C,PICO,0.0
MCK 13-3 C,PIJE,0.0
MCK 13-3 C,PILA,0.0125205864659335
MCK 13-3 T,ABCO,0.9198363309057898
MCK 13-3 T,ABMA,0.0388842127364956
MCK 13-3 T,CADE,0.0
MCK 13-3 T,OTHER,0.0
MCK 13-3 T,PICO,0.0
MCK 13-3 T,PIJE,0.0327671457076797
MCK 13-3 T,PILA,0.0085123106500348
TWC 3 C,ABCO,0.8087006230180325
TWC 3 C,ABMA,0.1560138466885231
TWC 3 C,CADE,0.0149774561143991
TWC 3 C,OTHER,0.0
TWC 3 C,PICO,0.0
TWC 3 C,PIJE,0.0027889819584495
TWC 3 C,PILA,0.0175190922205956
TWC 3 T,ABCO,0.7394138686071295
TWC 3 T,ABMA,0.0078710740913928
TWC 3 T,CADE,0.1126785032063982
TWC 3 T,OTHER,0.0
TWC 3 T,PICO,0.0
TWC 3 T,PIJE,0.0493188567344131
TWC 3 T,PILA,0.0907176973606661
WRD 20-16 C,ABCO,0.9273739842432364
WRD 20-16 C,ABMA,0.0512105255131249
WRD 20-16 C,CADE,0.0
WRD 20-16 C,OTHER,0.0
WRD 20-16 C,PICO,0.0
WRD 20-16 C,PIJE,0.0214154902436385
WRD 20-16 C,PILA,0.0
WRD 20-16 T,ABCO,0.8653285453847224
WRD 20-16 T,ABMA,0.1091853012622149
WRD 20-16 T,CADE,0.0
WRD 20-16 T,OTHER,0.0
WRD 20-16 T,PICO,0.0024359865600741
WRD 20-16 T,PIJE,0.0230501667929885
WRD 20-16 T,PILA,0.0
WRD 20-9 C,ABCO,0.499308762827633
WRD 20-9 C,ABMA,0.2330318900300215
WRD 20-9 C,CADE,0.0
WRD 20-9 C,OTHER,0.0
WRD 20-9 C,PICO,0.1849581184037005
WRD 20-9 C,PIJE,0.0820462465193255
WRD 20-9 C,PILA,0.0006549822193192
WRD 20-9 T,ABCO,0.4438686475916087
WRD 20-9 T,ABMA,0.3657386798961861
WRD 20-9 T,CADE,0.0
WRD 20-9 T,OTHER,0.0
WRD 20-9 T,PICO,0.1243719374793941
WRD 20-9 T,PIJE,0.066020735032811
WRD 20-9 T,PILA,0.0
